id,date,text,retweet_count,lang,class,label
1223434412844470272,Sat Feb 01 02:34:28 +0000 2020,“I better not get the corona virus bc I don’t have anymore PTO” 😂💀,0,en,[0. 0. 0. 0. 0. 0. 0. 1.],trust
1223448706638327808,Sat Feb 01 03:31:16 +0000 2020,"RT @cnni: Hong Kong researchers estimate that more than 75,000 people could be infected with coronavirus in Wuhan, China — far higher than…",321,en,[0. 0. 1. 0. 0. 0. 0. 0.],disgust
1223530853046898688,Sat Feb 01 08:57:42 +0000 2020,RT @__aarum: China not telling us the full story...,4360,en,[0. 0. 0. 0. 1. 0. 0. 0.],joy
1223400549036544000,Sat Feb 01 00:19:55 +0000 2020,"RT @kerrya11en: 🚨 New piece! 🚨

With much of #China in lockdown either because of quarantine or self-quarantine, everyone's been watching l…",577,en,"[0.         0.28012855 0.         0.71987145 0.         0.
 0.         0.        ]",anticipation
1223705892677279744,Sat Feb 01 20:33:14 +0000 2020,If you don't have biology background all U have to know is that #RNA mutates faster than #DNA without the extra genome strand for stability/error correction. #HIV #Coronavirus #H5N1 #BirdFlu #Rhinovirus #CommonCold they all use #RNA that's why #HIV has no cure they mutate so fast https://t.co/WxtJquD6mk,1,en,"[0.        0.        0.        0.        0.        0.0184352 0.9815648
 0.       ]",sadness
1223693662078423041,Sat Feb 01 19:44:38 +0000 2020,"RT @SUCCESSCanada: Recently, stigmatizing comments have been directed at people of Chinese and Asian heritage regarding #2019nCOV. Divisive…",21,en,[0. 0. 0. 0. 0. 0. 0. 1.],trust
1223599838870114304,Sat Feb 01 13:31:49 +0000 2020,RT @AdityaRajKaul: Just so tragic! https://t.co/keBJVksxiQ,486,en,[0. 0. 0. 0. 0. 1. 0. 0.],sadness
1223544935963488257,Sat Feb 01 09:53:39 +0000 2020,"RT @NatalieCromb: But Australia isn’t racist huh? 🤦🏽‍♀️
#racism #colonyofAustralia https://t.co/tKl9z8hSvB",72,en,[0. 0. 1. 0. 0. 0. 0. 0.],disgust
1223687410984214528,Sat Feb 01 19:19:48 +0000 2020,RT @amyyqin: Day 10 of the lockdown in Wuhan. Instructions for residents on how to stop the spread of the coronavirus blare out over loudsp…,3308,en,[0. 0. 0. 0. 0. 0. 0. 1.],trust
1223756561186684928,Sat Feb 01 23:54:35 +0000 2020,RT @Jkylebass: 8 doctors in Wuhan identified the symptoms of the Chinese coronavirus as early as the first weeks of December. Police detain…,2048,en,"[0.         0.         0.         0.19575372 0.07091295 0.
 0.         0.73333333]",fear
